Name,ShortName,VoteCode,TinPemba,TinUnguja
Mkoa wa Kaskazini Unguja,Kaskazini Unguja,48,,107779450
Mkoa wa Kusini Unguja,Kusini Unguja,49,,107779477
Mkoa wa Mjini Magharibi,Mjini Magharibi,47,,107779396
Baraza la Manispaa Kaskazini A,BM/ Kaskazini A,207,,141799118
Wilaya ya Kaskazini B,Kaskazini B,561,,
Wilaya ya Kati,Kati,562,,
Wilaya ya Kusini,Kusini,563,,
Wilaya ya Mjini,Mjini,564,,
Baraza la Manispaa Magharibi A,Baraza Magharibi A,203,,137175088
Wilaya ya Magharibi B,Magharibi B,565,,
Wilaya ya Wete,Wete,566,,
Wilaya ya Chakechake,Chakechake,567,,
Wilaya ya Mkoani,Mkoani,568,,
Wilaya ya Micheweni,Micheweni,569,,
Skuli ya Sheria,,570,,154057374
Ofisi ya Mhasibu Mkuu,,22,157268007,156933775
Ofisi ya Mkaguzi Mkuu wa Ndani wa Serikali,OMMNS,52,157532790,156958174
"Ofisi ya Rais, Uchumi, Kazi na Uwekezaji",ORKUU,6,150659493,101697533
"Wizara ya Maendeleo ya Jamii, Jinsia, Wazee na Watoto",WMJJWW,19,157265857,157443895
Kamisheni ya Kazi,ZLC,573,,101817687
Baraza la Mji Kati,BMKati,205,,134349867
Baraza la Mji Kaskazini B,BMK B,208,,106226431
Wilaya ya Kaskazini A,WKA,574,,
Baraza la Manispaa Magharibi B,BMMB,204,,129840552
Baraza la Ushindani Halali wa Biashara,ZFCT,575,,119064392
Kampuni ya Mwani Zanzibar,ZASCO,576,,
Wilaya ya Magharibi A,WMA,577,,
Wilaya Ndogo Tumbatu,WNT,578,,
Baraza la Manispaa Chake Chake,BMCC,210,119062896,
Baraza la Mji Wete,BMW,211,119065402,
Baraza la Mji Mkoani,BMMK,209,119062756,
Halmashauri ya Wilaya ya Micheweni,HWM,212,137833387,
"Taasisi ya Afisi ya Rais, Ufuatiliaji na Usimamizi wa Utendaji Kazi Serikali",PDB,58,,166520649
Ofisi ya Msajili wa Hazina,Hazina,106,176498501,176281286
TAASISI YA WAHASIBU WAKAGUZI NA WASHAURI ELEKEZI WA KODI ZANZIBAR,ZIAAT,579,,175942998
Wakala wa Uwezeshaji Wananchi Kiuchumi,ZEEA,105,176523980,176332557
Mahkama ya Kadhi,MK,580,184010607,184104601
Mrajis wa Elimu,ME,581,,184035006
Bohari Kuu ya Dawa,BKD,582,,
WIZARA YA MAMBO YA NJE,WMNJ,19,,
TAASISI YA USALAMA WA WAGENI,TUW,19,,
"WIZARA YA UTAFITI,UBUNIFU NA MATEMBEZI (ENGLISH)",WUUM,20,,
KIJAMBO CHETU,KC,897,,
OFISI YA RAIS IKULU FEDHA,ORIF,567,,
IKULU FEDHA,IK,25,,
